Category,Tender Description,Advertised,Cancelled
Services: General,"THE SUPPLY OF CODE TWO BACKUP FOR OFFICE 365,ACTIVE DIRECTORY MANAGE ENGINE AND PLURALSIGHT SUBSCRIPTION LICENSES",10/01/2024,[object Object]
Other service activities,REQUEST FOR PROPOSALS FOR THE APPOINTMENT OF A SERVICE PROVIDER TO ASSIST SALGA WITH STRATEGIC PROFILING AND MEDIA BUYING FOR A PERIOD OF 36 MONTHS (3 YEARS),10/01/2024,[object Object]
Rental and leasing activities,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE OFFICE SPACE FOR THE CRL RIGHTS COMMISSION,10/01/2024,[object Object]
"Waste collection, treatment and disposal activities; materials recovery","FOR THE PROVISION OF THE ANNUAL FLUSHING, CLEANING, AND REMOVAL OF RESULTANT WASTE COLLECTION FROM THE HAZMAT RETICULATION SYSTEM LOCATED IN ISLAND VIEW, PORT OF DURBAN FOR A PERIOD OF THIRTY-SIX (36) MONTHS",10/01/2024,[object Object]
Food and beverage service activities,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE SHISANYAMA TRAINING TO OUTLETS THROUGH OUT KZN,10/01/2024,[object Object]
Services: General,REQUEST FOR PROPOSALS FOR THE DESIGN AND IMPLEMENTATION OF A PV WITH STORAGE MINI-GRID ENERGY SECURITY INTERVENTION,09/01/2024,[object Object]
Accommodation,"Limpopo Province: Polokwane: Department of Justice: NPA Procurement of new office accommodation (existing building or building to be constructed) at a total lettable area of 1673.40sqm with 55 shaded parking (open, undercover, lockable, secured), backup generator and water tank (10 000) for a period of 3 years.",09/01/2024,01/01/1
Accommodation,"APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO OFFER BUSINESS ADVISORY SERVICES TO ENTERPRISES IN THE TRAVEL, ACCOMODATION AND HOSPITALITY SECTOR FOR A PERIOD OF THREE YEARS",09/01/2024,01/01/1
Services: General,Prospective service providers are hereby requested to quote on supply of maintenance for Sydney Maseko CLC as per the attached advert.,09/01/2024,[object Object]
Services: Professional,RE-ADVERT: APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR WATER QUALITY MONITORING ANALYSIS FOR A PERIOD OF THREE (3) YEARS,09/01/2024,01/01/1
Supplies: General,SUPPLY AND DELIVERY OF MEMBRANES FOR WTP AT KUSILE POWER STATION FOR A PERIOD OF TWO (2) YEARS,09/01/2024,01/01/1
Education,NSF: NON-FORMAL SKILLS PROGRAMMES,09/01/2024,[object Object]
Services: General,Prospective service providers are hereby requested to quote on supply of maintenance for Sydney Maseko CLC as per the attached advert.,09/01/2024,[object Object]
Information service activities,Provision Of Training Material Design Software,09/01/2024,[object Object]
Food and beverage service activities,THE APPOINTMENT OF A SERVICE PROVIDER FOR INTERNAL AUDIT SERVICES FOR THE FOOD AND BEVERAGES MANUFACTURING SECTOR EDUCATION AND TRAINING AUTHORITY (FOODBEV SETA),09/01/2024,[object Object]
Sports activities and amusement and recreation activities,Service providers are hereby requested to quote on supply and delivery of sport kit for Bethsaida CLC as per the attached advert.,08/01/2024,[object Object]
Activities of head offices; management consultancy activities,APPOINTMENT OF INDEPENDENT EXTERNAL QUALITY ASSURANCE ASSESSOR.,03/01/2024,[object Object]
Manufacture of furniture,INVITATION TO BID FOR OFFICE FURNITURE OF THE SOUTH AFRICAN DIAMOND AND RECIOUS METALS REGULATOR TO THE HIGHEST BIDDER,03/01/2024,[object Object]
Supplies: Computer Equipment,"A PARTNERSHIP FOR THE PROVISION AND PLACEMENT OF AN INTEGRATED AUTOMATED CT BRAIN IMAGING SOFTWARE WITH ADVANCED CAPABILITIES FOR USE IN THE DIAGNOSIS AND TREATMENT OF TIME-SENSITIVE ACUTE STROKES, INCLUSIVE OF A FULL MAINTENANCE AND SUPPORT AGREEMENT TO GROOTE SCHUUR HOSPITAL AND REFERRING HOSPITALS FOR A CONTRACT PERIOD OF FIVE (5) YEARS, WITH AN INITIAL PROOF OF CONCEPT NO-COST PLACEMENT FOR A MINIMUM OF TWO (2) YEARS DURING WHICH THE CONTRACT MAY BE DISSOLVED SUBJECT TO SUPPLIER PERFORMANCE AND DEPARTMENTAL PRESCRIPTS, AT THE SOLE DISCRETION OF THE DEPARTMENT, WITH THE OPTION TO PROCURE FROM YEAR 3 FOR A FURTHER 3 YEAR PERIOD. THIS SPECIFICATION WILL INCLUDE SUPPLY, DELIVERY, INSTALLATION, DEMONSTRATION, COMMISSIONING, TRAINING, SUPPORT AND MAINTENANCE OF THIS INTEGRATED SOLUTION AT GSH AND REFERRAL HEALTHCARE FACILITIES. THIS SOLUTION SHALL INCLUDE A FULL MAINTENANCE AND SUPPORT AGREEMENT TO THE INSTITUTION FOR THE FULL CONTRACT PERIOD.",22/12/2023,[object Object]
"Computer programming, consultancy and related activities",DocuSign (eSignature) annual subscription license envelopes for three years as from 01 February 2024 to 31 January 2027.,21/12/2023,[object Object]
Services: Functional (Including Cleaning and Security Services),PROVISION OF SECURITY SERVICES FOR THE THEEWATERSKLOOF MUNICIPALITY FROM DATE OF APPOINTMENT TO 30 JUNE 2026,20/12/2023,[object Object]
Services: Professional,Occupational Ceryificate Automotive Motor Mechanic NQF 4,20/12/2023,[object Object]
Administrative and support activities,APPOINTMENT OF A SERVICE PROVIDER TO ADMINISTER PAYMENTS OF MONTLY STIPENDS FOR SEVENTY-EIGHT (78) TOURISM MONITORS BENEFICIARIES,19/12/2023,[object Object]
"Electricity, gas, steam and air conditioning","Supply, delivery, install and commissioning of Nitrogen Oxide (NOx) analyser for Lephalale ambient air quality monitoring station.",19/12/2023,[object Object]
Civil engineering,Appointment of a contractor for the new Mashifane Park: - installation of civil engineering services: Bulk Services,18/12/2023,[object Object]
Repair and installation of machinery and equipment,"FOR THE PROVISION OF SERVICES, CLEVIS PINS AND END CAPS FOR THE REPLACEMENT OF THE LUFFING CYLINDER AND BOGIE WHEELS ON STACKER/RECLAIMER 3 AT THE IRON ORE TERMINAL AT THE PORT OF SALDANHA FOR A ONCE OFF PERIOD.",16/12/2023,[object Object]
Education,"Provision of Appointing a Qualified, Experienced and Accredited Training Service Provider(S) to conduct Training on Professional Driving Skills to Youth in Limpopo Department of Social Development for a period of Three Months",16/12/2023,[object Object]
Other service activities,"THE APPOINTMENT OF A SERVICE PROVIDER WHO WILL ASSIST THE DEPARTMENT WITH THE REVISION OF THE EMISSIONS INVENTORY, EMISSIONS REDUCTION TARGETS DEVELOPMENT AND PHOTOCHEMICAL MODELLING OF THE BASELINE AND EMISSIONS REDUCTION TARGETS SCENARIOS FOR THE VAAL TRIANGLE AIRSHED PRIORITY AREA SECOND GENERATION AIR QUALITY MANAGEMENT FOR A PERIOD OF EIGHTEEN (18) MONTHS.",15/12/2023,[object Object]
Specialised construction activities,APPOINTMENT OF A THATCHING SPECIALIST COMPANY FOR THE EAST REGION OF EZEMVELO KZN WILDLIFE FOR 3 YEARS.,14/12/2023,[object Object]
Specialised construction activities,APPOINTMENT OF A THATCHING SPECIALIST COMPANY FOR THE WEST REGION OF EZEMVELO KZN WILDLIFE FOR 3 YEARS,14/12/2023,[object Object]
Accommodation,"SOUTH AFRICAN HUMAN RIGHTS COMMISSION: CAPE TOWN: OPEN TENDER PROCEDURE OF FIVE (5) YEARS : LETTABLE GUIDELINE- 857,54M2 AND 20 SAFE AND SECURED UNDER COVER PARKING BAYS",14/12/2023,[object Object]
Accommodation,"PUBLIC SERVICE COMMISSION (PSC) : CAPE TOWN: OPEN TENDER PROCEDURE OF (5) YEARS- LETTABLE GUIDELINE- 610,45M2 AND 12 SAFE AND SECURED UNDER COVER PARKING BAYS",14/12/2023,01/01/1
Services: Professional,REQUEST FOR PROPOSALS TO PROCURE DEAL MAKERS TO SUPPORT INVESTMENT UPTAKE AND TOP STRUCTURE DEVELOPMENT AT THE OR TAMBO INTERNATIONAL AIRPORT SPECIAL ECONOMIC ZONE (OR TAMBO SEZ): ORTIA PRECINCT 2 AND THE SPRINGS PRECINCT.,14/12/2023,[object Object]
Accommodation,SAPS: PROTECTION AND SECURITY SERVICES: CAPE TOWN : OPEN TENDER PROCEDURE OF FIVE (5) YEARS- LETTABLE GUIDELINE: 670M2 AND 14 SAFE AND SECURED UNDER COVER PARKING BAYS,14/12/2023,01/01/1
Accommodation,"BEAUFORT WEST: SA POLICE SERVICE: DPCI: OPEN TENDER PROCEDURE TO PROCURE NEW OFFICE ACCOMMODATION FOR A PERIOD OF FIVE(5) YEARS- LETTABLE GUIDELINE: 1207.70M2, 12 SAFE AND SECURED UNDER COVER PARKING BAYS",14/12/2023,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO DESIGN THE ENTERPRISE ARCHITECTURE PLAN FOR A PERIOD OF 6 MONTHS AND PROVIDE EA WORKBENCH SOFTWARE LICENSES AND SUPPORT FOR A PERIOD OF 36 MONTHS TO THE OFFICE OF THE VALUER GENERAL (OVG),14/12/2023,[object Object]
Construction,"REFURBISHMENT OF MTHATHA GARDEN COURT,EASTERN CAPE – CLUSTER I",14/12/2023,[object Object]
Services: Professional,"SAP PROCUREMENT UPGRADE, ENHANCEMENT, IMPLEMENTATION, AND MAINTENANCE OVER 3 YEARS FOR GPG",14/12/2023,[object Object]
Construction of buildings,"APPOINTMENT OF A CONTRACTOR FOR REFURBISHMENT, ALTERATIONS, AND ADDITIONS AT DURBAN YARD CLEANER’S DEPOT, KWA ZULU NATAL REGION TO BE DONE OVER 10 MONTHS CONSTRUCTION PERIOD.",14/12/2023,[object Object]
Supplies: General,"APPOINTMENT OF SERVICE PROVIDER FOR 12-MONTH TERM CONTRACT: SUPPLY AND DELIVER MATTRESS AND BASE SETS-PRESTIGE RESIDENCES (PARLIAMENTARY VILLAGES, MINISTERS, DG's AND PRESIDENCY)",14/12/2023,[object Object]
Construction,"A 3-YEAR FRAMEWORK AGREEMENT FOR THE CONSTRUCTION, INSTALLATION AND MAINTENANCE OF MECHANICAL AND ELECTRICAL WORKS ON FACILITIES, AND AGRICULTURAL DEVELOPMENTS IN THE LIMPOPO PROVINCE FOR A PERIOD OF THREE (3) YEARS.",14/12/2023,[object Object]
Construction,A 3-YEAR FRAMEWORK AGREEMENT FOR THE CONSTRUCTION AND EQUIPPING OF AGRICULTURAL BUILDINGS AND DEPARTMENTAL FACILITIES IN THE LIMPOPO PROVINCE FOR A PERIOD OF THREE (3) YEARS.,14/12/2023,[object Object]
Services: Professional,EXPRESSION OF INTEREST - FOR THE INCLUSION OF BUILT ENVIRONMENT PROFESSIONAL SERVICE PROVIDERS TO A PANEL FOR A PERIOD OF 3 YEARS,14/12/2023,01/01/1
Construction,A 3-YEAR FRAMEWORK AGREEMENT FOR THE DEVELOPMENT AND MAINTENANCE OF IRRIGATION PROJECTS AND SCHEMES FOR THE LIMPOPO DEPARTMENT OF AGRICULTURE AND RURAL DEVELOPMENT.,14/12/2023,[object Object]
Other service activities,"APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF ENTERPRISE FIREWALL SOLUTION FOR A PERIOD OF THREE (3) YEARS",14/12/2023,[object Object]
Construction,A 3-YEAR FRAMEWORK AGREEMENT FOR THE CONSTRUCTION OF FENCES AND ANIMAL HANDLING FACILITIES IN THE LIMPOPO PROVINCE.,14/12/2023,[object Object]
Supplies: Stationery/Printing,"REQUEST FOR PROPOSAL: BULK PRINTING SOLUTION FOR THE MOTOR VEHICLE LICENCE (MVLs) Please take note that this is not a new bid, the bid was published on 17/11/2023, we are extending the closing date to 26/01/2024.",14/12/2023,[object Object]
Supplies: Stationery/Printing,"REQUEST FOR PROPOSAL: BULK PRINTING SOLUTION FOR THE MOTOR VEHICLE LICENCE (MVLs) Please take note that this is not a new bid, the bid was published on 17/11/2023, we are extending the closing date to 26/01/2024.",14/12/2023,[object Object]
Services: General,"SUPPLY, INSTALLATION AND COMMISSIONING OF A GRAVIMETRIC FLOW METER TEST BENCH AT FLOW LABORATORY (FENNELL ROAD DEPOT) FOR A PERIOD OF THIRTY-SIX (36) MONTHS",14/12/2023,[object Object]
Services: Professional,TERMS OF REFERENCE FOR THE APPOINTMENT OF SERVICE PROVIDERS TO SERVE IN THE ETDP SETA PANEL OF LEGAL PRACTITIONERS,14/12/2023,[object Object]
Other service activities,PROVISION OF DESLUDGING SERVICES OF VENTILATED IMPROVED PIT LATRINES (VIPS) OR CONSERVANCY/SEPTIC TANKS USING VACUUM TANKERS OR HONEY SUCKERS ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THIRTY-SIX (36) MONTHS,14/12/2023,[object Object]
"Other professional, scientific and technical activities",Leasing of ten (10) Upper Air Sounding systems and the supply of Radiosondes for a period of three (3) years.,14/12/2023,[object Object]
Services: Professional,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE TRAVEL MANAGEMENT SERVICES FOR THE PERIOD OF 36 MONTHS AT THE DEPARTMENT OF AGRICULTURE, LAND REFORM AND RURAL DEVELOPMENT (DALRRD): REGIONS 1 & 5.",14/12/2023,[object Object]
Other service activities,"THE APPOINTMENT OF A SERVICE PROVIDER WHO WILL ASSIST THE DEPARTMENT WITH THE REVISION OF THE EMISSIONS INVENTORY, EMISSIONS REDUCTION TARGETS DEVELOPMENT AND PHOTOCHEMICAL MODELLING OF THE BASELINE AND EMISSIONS REDUCTION TARGETS SCENARIOS FOR THE WATERBERG-BOJANALA PRIORITY AREA SECOND GENERATION AIR QUALITY MANAGEMENT FOR A PERIOD OF EIGHTEEN (18) MONTHS.",14/12/2023,[object Object]
Rental and leasing activities,LEASING OF A CORPORATE OFFICE SPACE FOR A PERIOD OF FIVE (5) YEARS,14/12/2023,[object Object]
"Manufacture of fabricated metal products, except machinery and equipment","FOR THE SUPLLY AND DELIVERY OF PINION; GEAR, TRACTION MOTOR; 20E/22E, PINION; GEAR, STEEL 18CRNIMO7-6/17CRNIMO6 TO ROTATING MACHINE BUSINESS, KOEDOESPOORT AND DURBAN FOR A PERIOD OF THREE (3) YEARS",14/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",ELECTRIFICATION OF MATJATJI VILLAGE WARD 12 100HH TURNKEY PROJECT,14/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",ELECTRIFICATION OF MAPATJAKENG VILLAGE 39HH,14/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",ELECTRIFICATION OF HWELESHANENG 30HH TURNKEY PROJECT,14/12/2023,[object Object]
Financial and insurance activities,APPOINTMENT OF SERVICE PROVIDER FOR SELF- INSURANCE,14/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",ELECTRIFICATION OF LEKURUNG WARD 30 150HH TURNKEY PROJECT,14/12/2023,[object Object]
Manufacture of electrical equipment,"The Design, Manufacture, Testing, Supply, Delivery of the estimated quantities of Dry Capacitive Bushings on an ‘as and when’ required basis for the Central East Cluster, Kwa-Zulu Natal and Free State Operating Units for a period of 36 months.",14/12/2023,[object Object]
Services: Functional (Including Cleaning and Security Services),"Garden services at Head Office, D-Block, Motor Transport Services, Traffic Training College and Thembalethu",14/12/2023,[object Object]
Advertising and market research,"DESIGN CUSTOMISATION AND CONSTRUCTION OF WORLD-CLASS INTERNATIONAL EXHIBITION STAND (IMEX, FRANKFURT) FOR SOUTH AFRICAN TOURISM",14/12/2023,[object Object]
Security and investigation activities,APPOINTMENT OF A SERVICE PROVIDER FOR THE LEASING OF INTRUDER ALARM SYSTEM WITH ARMED RESPONSE SERVICES IN ELEVEN (11) PUBLIC PROTECTOR SOUTH AFRICA (PPSA) OFFICES FOR PERIOD OF THREE (3) YEARS.,14/12/2023,[object Object]
Rental and leasing activities,"THE APPOINTMENT OF A SERVICE PROVIDER THROUGH A LEASING CONTRACT FOR THE LEASING OF FIVE (5) TRUCK TRAILERS TO BE USED BY THE DEPARTMENT OF FORESTRY, FISHERIES, AND ENVIRONMENT (WASTE BUREAU) FOR THE TRANSPORTATION OF WASTE TYRES, WASTE TYRE SHRED, BAILED GENERAL WASTE AND OTHER RELATED WASTE MATERIALS, FOR A PERIOD OF TWENTY-FOUR (24) MONTHS",14/12/2023,[object Object]
Services: Professional,DESIGN CUSTOMISATION AND CONSTRUCTION OF WORLD - CLASS INTERNATIONAL EXHIBITION STAND (IMEX AMERICA) FOR SOUTH AFRICAN TOURISM,14/12/2023,[object Object]
Supplies: General,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER MATERIALS FOR THE WAR ON LEAKS PROGRAMME,14/12/2023,[object Object]
Administrative and support activities,Appointment of the service provider for development and support to be provided in assisting the Finance and SCM environment with the mapping and development of their business processes.,14/12/2023,[object Object]
Manufacturing,SUPPLY AND DELIVERY OF VALVES FOR VARIOUS TRANSNET PIPELINE DEPOTS,14/12/2023,[object Object]
Services: Professional,"DESIGN CUSTOMISATION AND CONSTRUCTION OF WORLD-CLASS INTERNATIONAL EXHIBITION STAND (WTM IN LONDON, IBTM IN SPAIN, FITUR IN SPAIN) FOR SOUTH AFRICAN TOURISM",14/12/2023,[object Object]
Services: General,PROVISION OF MENTAL HEALTH SERVICES AND COMMUNITY BASED REHABILITATION SERVICES FOR MENTAL HEALTH USERS INCLUDING STEP DOWN FACILITIES WITHIN EASTERN CAPE FOR 5 YEARS,14/12/2023,[object Object]
Services: Professional,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR GAUTENG PROVINCE ON BEHALF OF DEPARTMENT OF EDUCATION: ARTS,14/12/2023,[object Object]
Manufacture of basic metals,The manufacture and supply of Padlocks within the various warehouses in LimLanga Cluster (Limpopo and Mpumalanga) for five years (5) on an “as and when” required basis.,14/12/2023,[object Object]
Services: Professional,The Support and Enhancement of the merSETA National Skills Development Management System (NSDMS),14/12/2023,01/01/1
Services: Building,REQUEST FOR PROPOSAL FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR INFRASTRUCTURE DEVELOPMENT AND SUPPLY OF FERTILE EGGS FOR DEVELOPMENT OF PARENT STOCK PRODUCTION CENTERS.,14/12/2023,[object Object]
Construction,"Engineering, procurement and construction of the Erica 2x500MVA 400/132kV Gas Insulated Switchgear (GIS) substation for Erica Substation.",14/12/2023,[object Object]
Construction of buildings,Appointment of a contractor or service provider for Rehabilitation of Rosherville Roof structures for a period of Twelve months (12 months).,14/12/2023,[object Object]
Services: General,"APPOINTMENT OF SERVICE PROVIDERS FOR THE PROVISION OF SECURITY SERVICES AT ALFRED NZO HEALTH DISTRICT FACILITIES, IN THE EASTERN CAPE DEPARTMENT OF HEALTH FOR A PERIOD OF 36 MONTHS ON A RATE BASIS AS AND WHEN REQUIRED.",14/12/2023,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF CLAMPS TO SIMMERPAN POWER NETWORK TRANSMISSION STORES,14/12/2023,[object Object]
"Water supply; sewerage, waste management and remediation activities","FOR THE SUPPLY, DEVELOPMENT, INSTALLATION, TESTING AND COMMISSIONING OF THE NATIONAL SMART METERING SYSTEM FOR THE ELECTRICITY AND WATER AT TRANSNET PROPERTY",14/12/2023,[object Object]
Services: General,"Tender to appoint an experienced and competent service provider to provide an accounting software tool for the preparation of monthly management accounts in accordance with section 71 of the MFMA, and Annual Financial statements both separate and consolidated for a period of three 93) years.",13/12/2023,[object Object]
"Computer programming, consultancy and related activities",APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE A SOFTWARE SOLUTION TO ENABLE TCTA TO DO CREDIT ANALYSIS OF OFF-TAKERS AND OTHER ENTITIES AND PERFORM EXPECTED CREDIT LOSS ASSESSMENTS FOR PERIOD OF 60 MONTHS,13/12/2023,[object Object]
Services: Professional,APPOINTMENT OF SERVICE PROVIDER TO ASSIST WITH OFFSITE STORAGE FOR A PERIOD OF THIRTY-SIX (36) MONTHS.,13/12/2023,[object Object]
Supplies: General,"Supply, and Delivery of 1 x Rugged Laptop and Safe",13/12/2023,[object Object]
Supplies: Medical,Research consumables (Sabax water),13/12/2023,[object Object]
Services: Professional,Provision of Universally Accessible Dedicated Public Transport Services for People Disability in the Province.,13/12/2023,[object Object]
Other service activities,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH NAVIGATION AND COMMUNICATION SYSTEMS SERVICES FOR PORT ELIZABETH FOR A PERIOD NOT EXCEEDING 31 OCTOBER 2026 ON BEHALF OF THE MLRF,13/12/2023,[object Object]
Supplies: Clothing/Textiles/Footwear,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH FISHING AND SEAMANSHIP GEAR - ROPES TACKLE NETS FOR DURBAN A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,13/12/2023,[object Object]
"Other professional, scientific and technical activities",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH NAVIGATION AND COMMUNICATION SYSTEMS SERVICES FOR CAPE TOWN PORT FOR A PERIOD NOT EXCEEDING 31 OCTOBER 2026 ON BEHALF OF THE MLRF.,13/12/2023,[object Object]
"Other professional, scientific and technical activities",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH NAVIGATION AND COMMUNICATION SYSTEMS SERVICES FOR DURBAN FOR A PERIOD NOT EXCEEDING 31 OCTOBER 2026 ON BEHALF OF THE MLRF,13/12/2023,[object Object]
"Other professional, scientific and technical activities",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH NAVIGATION AND COMMUNICATION SYSTEMS SERVICES FOR EAST LONDON FOR A PERIOD NOT EXCEEDING 31 OCTOBER 2026 ON BEHALF OF THE MLRF.,13/12/2023,[object Object]
Activities of households as employers of domestic personnel,THE APPOINTMENT OF PROFESSIONAL SERVICE PROVIDER TO REVIEW AND UPDATE THE PROVINCE OF KWAZULU-NATAL’S ENVIRONMENTAL OUTLOOK REPORT (EOR),13/12/2023,[object Object]
Manufacture of textiles,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH FISHING AND SEAMANSHIP GEAR - ROPES TACKLE NETS FOR CAPE TOWN HABOUR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,13/12/2023,[object Object]
Services: General,ENGINEER-PROCURE-CONSTRUCT (EPC) OF POWER GENERATION USING HYDROPOWER SYSTEM TO POWER THE CATHODIC PROTECTION RECTIFIER UNITS AT RAND WATER,13/12/2023,[object Object]
Services: Professional,Request for Quotation (RFQ) for the supply of Supermicro Servers for the SANReN SDI cluster to the CSIR.,13/12/2023,[object Object]
Services to buildings and landscape activities,THE MAINTENANCE AND CLEANING OF PORT ROADS IN THE PORT OF DURBAN ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THIRTY-SIX (36) MONTHS,13/12/2023,[object Object]
Supplies: General,Supply and delivery of Steel for a five-year period for Stock Replenishment at Lethabo Power Station.,13/12/2023,[object Object]
Services: Professional,"FOR THE APPOINTMENT SERVICE PROVIDERS TO CONDUCT OCCUPATIONAL HYGIENE SURVEYS (INDOOR AIR QUALITY) AT THE ENVIRONMENT HOUSE (HEAD OFFICE, PRETORIA-GAUTENG) AND / OR AT EAST PIER BUILDING (CAPE TOWN -WESTERN CAPE) FOR TWELVE (12) MONTHS",13/12/2023,[object Object]
Supplies: General,RE-ISSUE:THE SUPPLY/MANUFACTURE AND DELIVERY OF TWELVE (12) SAFETY CLASS VALVES FOR 12004 HARDENED WATER CONNECTION POINTS FOR KOEBERG NUCLEAR POWER STATION,13/12/2023,[object Object]
Services: Civil,CONTRACT SANRAL: FOR GEOTECHNICAL MONITORING AND REFURBISHMENT OF ANCHORED SLOPES AND STRUCTURES ON NATIONAL ROUTE 1 SECTION 2 TO 3 BETWEEN FLORENCE AND HEX RIVER PASS AS WELL AS SIR LOWRY’S PASS VIADUCT ON NATIONAL ROUTE 2 SECTION 2 (NON-TOLL ROADS) And FOR GEOTECHNICAL MONITORING AND REFURBISHMENT OF ANCHORED SLOPES AND STRUCTURES ON NATIONAL ROUTE 1 SECTION 1 AT THE HUGUENOT TUNNEL (TOLL ROADS),13/12/2023,[object Object]
Services: General,WESTERN CAPE DEPARTMENT OF AGRICULTURE: ELSENBURG EXPERIENTIAL FARM: REVITALISATION OF 28.6 HA VINEYARD (IRRIGATION – PHASE 1),13/12/2023,[object Object]
Services: Electrical,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH ELECTRICAL AND CONTROL SYSTEMS SERVICES FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,13/12/2023,[object Object]
Land transport and transport via pipelines,"Request for proposals for the supply, delivery, maintenance and repairs of forklifts with buy back of existing forklifts for Dube Cargo Terminal and Bonded Warehouse for a period of three (3) years",13/12/2023,[object Object]
Mining support service activities,REQUEST FOR INFORMATION (“RFI”) FOR THE DEVELOPMENT OF AN MHSC WEB-BASED OCCUPATIONAL HEALTH INFORMATION MANAGEMENT SYSTEM (OHIMS) FOR THE SOUTH AFRICAN MINING INDUSTRY (SAMI),13/12/2023,[object Object]
Construction,"Transfer House 9 Drainage, and Overland Link Conveyor 1&2 Drainage",13/12/2023,[object Object]
Repair and installation of machinery and equipment,"REQUEST FOR BIDS FOR THE APPOINTMENT OF A CONTRACTOR FOR THE REPAIRS AND UPGRADES OF THE EXISTING NURSERIES AND ASSOCIATED GLASSHOUSE INFRASTRUCTURE FOR THE SOUTH AFRICAN NATIONAL BIODIVERSITY INSTITUTE (SANBI) AT THE KIRSTENBOSCH NATIONAL BOTANICAL GARDEN, CAPE TOWN: PHASE 2",12/12/2023,[object Object]
"Office administrative, office support and other business support activities",Request To Appoint A Service Provider For The Renewal of NetScout-NGN Maintenance and Support For A Period of Three (3) Years. Non Compulsory Virtual Briefing Session Will Be Held On 19 January 2024 At 10H00AM,12/12/2023,[object Object]
Supplies: Computer Equipment,RAF/2023/00032: THE ROAD ACCIDENT FUND (RAF) SEEKS TO APPOINT SERVICE PROVIDERS FOR THE RENTAL OF END USER EQUIPMENT ON A MANAGED SERVICES FOR A PERIOD OF FIVE (5) YEARS.,12/12/2023,[object Object]
Construction,CONSTRUCTION OF CONCRETE PALISADE FENCE AT WATERVAL STORE,12/12/2023,[object Object]
Information and communication,SECURITY INFORMATION EVENT MANAGEMENT (SIEM),12/12/2023,[object Object]
Information and communication,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROCUREMENT OF 3157 DESKTOPS NATIONALLY.,12/12/2023,[object Object]
Services: Professional,N/A,12/12/2023,[object Object]
Services: Building,Lease of office space and parking for South African Environmental Observation Network (SAEON) in the Scientia 627-JR area and surrounding areas for period of 3 years.,12/12/2023,[object Object]
Real estate activities,"Department of Public Service Commission: PMB: Procurement of Alternative Accommodation and Parking ,Pietermaritzburg office with lettable area of 503sqm and 18 parking bays for a Lease Period of 5 Years.",12/12/2023,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER FOR PROVISION OF BUSINESS CONTINUITY SERVICES AMD UPDATE OF BCM PROGRAMME FOR PSETA FOR A DURATION OF THREE YEARS,12/12/2023,[object Object]
Postal and courier activities,FOR THE PROVISION OF COURIER SERVICES FOR THE PHELOPHEPA PROJECT FOR A PERIOD OF THREE (3) YEARS ON “AN AS WHEN REQUIRED BASIS”.,12/12/2023,[object Object]
