category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Construction,E1777CXRTD,FOR THE ESTABLISHMENT OF THE MV POWER SUPPLY FOR THE HVDC TEST FACILITY AT APOLLO SITE FOR THE DURATION OF 06 MONTHS.,04/09/2025,16/10/2025,,,
Specialised construction activities,ISC01REQ002015,"Supply, Delivery, and Installation of an alternative power solution, including a 12-month maintenance plan, at the Agricultural Research Council – NRE, Cedara Research Station",04/09/2025,19/09/2025,,,
Other service activities,NAMC RFQ 1504,NAMC RFQ 1504: APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT ACCREDITED OCCUPATIONAL HEALTH AND SAFETY TRAINING TO THE NATIONAL AGRICULTURAL MARKETING COUNCIL (NAMC) OHS,04/09/2025,19/09/2025,,,
Other service activities,RFB011/2025,APPOINTMENT OF A SERVICE PROVIDER TO LEASE OUT OFFICE SPACE FOR THE NELSPRUIT OPERATIONAL OFFICE FOR FIVE (5) YEARS,04/09/2025,26/09/2025,,,
Services: General,UMZ/2025-26/C&CS/06,PANEL FOR HIRE OF WASTE SPECIALISED PLANT AND EQUIPMENT ON AD-HOC BASIS CONTRACT FOR PERIOD OF TW (2) YEARS.,04/09/2025,23/09/2025,,,
Services: Functional (Including Cleaning and Security Services),TE/2025/06/0026/98335/RFP,"FOR THE PROVISION OF CLEANING AND HYGIENE SERVICES AT VARIOUS TRANSNET ENGINEERING RICHARDSBAY AND SURROUNDING SITES (RICHARDS BAY, VRYHEID, NEWCASTLE, VOLKSRUST, LADYSMITH AND GLENCOE), BAYHEAD AND SURROUNDING AREAS FOR 36 MONTHS",04/09/2025,03/10/2025,,,
Supplies: General,E1786GXMPARN,Supply and delivery of Consumables goods on an “as-and-when” required basis for the period of thirty-six (36) months at Arnot Power Station,04/09/2025,02/10/2025,,,
Services: Building,RFQ3/09/2025,"REQUEST TO SUPPLY AND DELIVER TWO STEEL HAZARDOUS CABINETS AT THE DEPARTMENT OF SCIENCE, TECHNOLOGY AND INNOVATION (DSTI).",03/09/2025,19/09/2025,,,
Construction,FIN-SCM-TEN-0139,Bid for In Service Inspection for the SAFARI-1 Reactor Vessel Assembly (RVA) and Reactor Pool Liners (RPL),03/09/2025,06/10/2025,,,
Supplies: General,8/2/1/UMH1678-25/26,APPOINTMENT OF THE SERVICE PROVIDER FOR THE MAINTENANCE OF CISCO NETWORK DEVICES FOR A PERIOD OF THREE YEARS.,03/09/2025,25/09/2025,,,
Supplies: General,8/2/1/UMH1678-25/26,"APPOINTMENT OF THE SERVICE PROVIDER FOR THE SUPPORT, MAINTENANCE AND UPGRADE OF THE EXISTING IP TELEPHONE SYSTEM INCLUDING CALL CENTRE MODULE",03/09/2025,25/09/2025,,,
Services: Professional,T 13 of 2025/26,APPOINTMENT OF A PANEL FOR THE PROVISION OF RADIO AIRTIME AND RELATED SERVICES FOR A 36-MONTHS PERIOD (AS & WHEN REQUIRED). Knysna Municipality hereby invites tenders for Appointment of a Panel for the provision of Radio Airtime and,03/09/2025,01/10/2025,,,
Services: Professional,HES-TECH 15/2526,"SUPPLY, DELIVERY AND INSTALLATION OF AN INVERTER AND BATTERY PACK TO INTEGRATE WITH EXISTING SOLAR PANELS – CIVIC CENTRE IN RIVERSDALE",03/09/2025,03/10/2025,,,
Services: Electrical,E1571GXMPCAMp,Publication of Names of Bidders: The Provision of Spare parts and services for Generators Lectrodryer BAC-50 Hydrogen Dryers on an “as and when required basis” at Camden Power Station for a period of 60 Months.,03/09/2025,30/09/2025,,,
Supplies: General,Re 20-2024-2025,Provision of hygiene services to municipal ablution facilities for 36 months,03/09/2025,02/10/2025,,,
Services: General,Rec 73251,REFURBISHMENT OF THE A3 AND A4 BRIDGES,03/09/2025,22/09/2025,,,
"Office administrative, office support and other business support activities",RFT04 2025-2026,APPOINTMENT OF SERVICE PROVIDER TO PROVIDE PROJECT MANAGEMENT SERVICES FOR PRESIDENTIAL EMPLOYMENT STIMULUS PACKAGE (PESP) FOR A PERIOD OF THREE (03) YEARS.,03/09/2025,25/09/2025,,,
Services: Professional,BID NO: LGSETA/BID 20 - 2025/2026,REQUEST FOR PROPOSAL TO APPOINT AN EXPERIENCED SECURITY SERVICE PROVIDER TO RENDER PHYSICAL SECURITY AS AND WHEN REQUIRED AT LGSETA OFFICES FOR A PERIOD OF TWO (02) YEARS,03/09/2025,25/09/2025,,,
Construction,ELM 25-26/08/02,APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF ROAD MAINTENANCE MATERIAL AND PLANT AS AND WHEN REQUIRED FOR A PERIOD OF 24 MONTHS,03/09/2025,02/10/2025,,,
Supplies: General,ELM 25-26/08/01,SUPPLY AND DELIVERY OF CLEANING MATERIALS AS AND WHEN REQUIRED FOR A PERIOD OF 36 MONTHS,03/09/2025,02/10/2025,,,
Other service activities,ORTIA7658/2024/RFP,"TENDER FOR THE MAINTENANCE OF FIRE WATER PUMP STATIONS, FIRE SPRINKLERS, FIRE HOSE REELS AND FIRE HYDRANTS FOR A PERIOD OF FIVE (05) YEARS AT O R TAMBO INTERNATIONAL AIRPORT",03/09/2025,08/10/2025,,,
Services: Professional,CSPS03/2025-2026,CSPS03/2025-2026: THE APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE LEGAL ELECTRONIC RESOURCES FOR THE CIVILIAN SECRETARIAT FOR POLICE SERVICE (CSPS) FOR A PERIOD OF THIRTY SIX (36) MONTHS,03/09/2025,02/10/2025,,,
Services: General,BID 03/25,ORGANISING AND HOSTING OF THE GLBAL ENTREPRENEUR WEEK,03/09/2025,19/09/2025,,,
Services: Professional,BID 04/25,PROVISION OF PROFESSIONAL SERVICES FOR THE QUALITY ASSESSMENTS AUDIT OF THE RURAL ROAD ASSET MANAGEMENT SYSTEM FOR TWO (2) YEARS,03/09/2025,26/09/2025,,,
Rental and leasing activities,NWHC 04/2025,PROVISION FOR A SERVICE PROVIDER FOR PROPERTY MANAGEMENT AT MATLOSANA COMMUNITY RESIDENTIAL UNITS ON BEHALF OF NORTH-WEST HOUSING CORPORATION (NWHC) FOR PERIOD OF 60 (5 YEARS) MONTHS.,03/09/2025,23/09/2025,,,
Services: Professional,HR/2025/011,Culture Survey,03/09/2025,03/10/2025,,,
"Water collection, treatment and supply",BID 05/25,"SUPPLY AND INSTALLATION OF 30kW MOTORS, SUBMERSIBLE PUMP AND GLASS FILTER MEDIA AT BARKLY WEST WATER TREATMENT WORKS",03/09/2025,19/09/2025,,,
Information and communication,T56-2025,THE DEVELOPMENT AND MAINTENANCE OF A CUSTOM WEIGHBRIDGE PROGRAMME FOR THE KARWYDERSKRAAL REGIONAL LANDFILL FACILITY FOR THE PERIOD ENDING 30 JUNE 2028,03/09/2025,03/10/2025,,,
"Electricity, gas, steam and air conditioning",TASEZ/RFP013/2025,Appointment of a service provider for the provision of general electrical maintenance services for 36 months,03/09/2025,25/09/2025,,,
Services: General,RFQ _16645,Supply and hire of deco and sound equipment and presentation equipment for CEO roadshow,03/09/2025,23/09/2025,,,
Services: General,RFQ _16549,Hire and service provision for water coolers and servicing or equipment and supply monthly of water refills,03/09/2025,23/09/2025,,,
Activities of head offices; management consultancy activities,SCM/1279/S/2024-2025,APPOINTMENT OF SERVICE PROVIDERS TO PROVIDE PROFESSIONAL TECHNICAL SUPPORT AND CONSULTING ENGINEERING SERVICES FOR A PERIOD OF 36 MONTHS,03/09/2025,23/10/2025,,,
Supplies: Electrical Equipment,E1799GXMPMAJ,SUPPLY AND DELIVERY OF LONG LINE PROTECTION AND ACTUATORS SPARES ON AN AS AND WHEN REQUIRED BASIS FOR THE PERIOD OF FIVE (5) YEARS AT MAJUBA POWER STATION,03/09/2025,26/09/2025,,,
Services: Functional (Including Cleaning and Security Services),DMPR/006/2025/26,"INVITATION OF BIDS FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF CLEANING SERVICES, HYGIENE SERVICES, FUMIGATION/PEST CONTROL, AND FOOD SERVICES AID FOR A PERIOD OF TWENTY- FOUR (24) MONTHS TO DEPARTMENT OF MINERAL AND PETROLEUM RESOURCES (DMPR): MPUMALANGA REGIONAL OFFICE (WITBANK).",03/09/2025,30/09/2025,,,
Services: Functional (Including Cleaning and Security Services),DMPR/007/2025/26,"INVITATION OF BIDS FOR THE APPOINTMENT OF A SERVICE PROVIDER TO RENDER CLEANING SERVICES, HYGIENE SERVICES, FUMIGATION/PEST CONTROL, AND FOOD SERVICES AID FOR A PERIOD OF TWENTY-FOUR (24) MONTHS TO DEPARTMENT OF MINERAL AND PETROLEUM RESOURCES (DMPR): FREE STATE REGIONAL OFFICE (WELKOM).",03/09/2025,03/10/2025,,,
Services: Functional (Including Cleaning and Security Services),DMPR/008/2025/26,"INVITATION OF BIDS FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR THE CLEANING SERVICES, HYGIENE SERVICES, FUMIGATION/PEST CONTROL, AND FOOD SERVICES AID FOR A PERIOD OF THIRTY-SIX (36) MONTHS TO DEPARTMENT OF MINERAL AND PETROLEUM RESOURCES (DMPR): WESTERN CAPE REGIONAL OFFICE (CAPE TOWN).",03/09/2025,09/10/2025,,,
Specialised construction activities,ACPR-PH3/PN/NC061/2025-2026,REPLACEMENT OF ASBESTOS CEMENT PIPES IN DISTRIBUTION & RETICULATION NETWORK IN PORT NOLLOTH,03/09/2025,03/10/2025,,,
Information service activities,SAMRC/ITSD-MEMS/2025/12,Mimecast Unified Email Management Solution,03/09/2025,30/09/2025,,,
Services: Electrical,RFB 3143/2025,Request for the Appointment of a Service Provider to Provide Maintenance & Support of Electrical Infrastructure at the SITA Sites.,03/09/2025,29/09/2025,,,
"Financial service activities, except insurance and pension funding",UMN 01/2025-26,Provision of Valuation Roll Maintenance and Provisions of the Valuation Roll Management System,03/09/2025,06/10/2025,,,
Other service activities,TNPA/2025/08/0007/104050/RFQ,FOR THE PROVISION OF DRY DOCK LAY-UP SERVICES OF PILOT BOAT TRISTAN TERN AT THE PORT OF EAST LONDON FOR A PERIOD OF 5-6 WEEKS,03/09/2025,03/10/2025,,,
Supplies: General,SC2595/2025,Supply and Delivery of Promotional Items,03/09/2025,19/09/2025,,,
Services: General,SC2598/2025,Provision of Graphic Design Services,03/09/2025,19/09/2025,,,
Supplies: General,SS 1 OF 2025 - SECTION 5,"APPOINTMENT OF PANEL OF SERVICE PROVIDERS FOR SUPPLY AND DELIVERY SERVICES: WATER METERS, DIRT TRAPS, STANDPIPES and PLASTIC WATER STORAGE TANKS",03/09/2025,03/10/2025,,,
Services: Professional,SAT 300/25,"SAT 300/25 DIGITAL PLATFORMS, MAINTENANCE, OPTIMIZATION, AND SUPPORT FOR 36 MONTHS",03/09/2025,03/10/2025,,,
Supplies: General,529,Appointment of a panel of three (03) service providers for the supply and delivery of machinery and equipment for fire and rescue service as and when required for 36 months,03/09/2025,22/09/2025,,,
Security and investigation activities,E1795CXMWP,Provision of 24/7 Armed Close Protection Officers for a period of 3 years “as and when” required.,03/09/2025,02/10/2025,,,
Supplies: Clothing/Textiles/Footwear,RT60-1-2025,SUPPLY AND DELIVERY OF FABRIC AND TOWELING PRODUCTS TO THE STATE FOR THE PERIOD ENDING 31 MAY 2028.,03/09/2025,03/10/2025,,,
Services: Functional (Including Cleaning and Security Services),E1754GXLPMAT,Provision of industrial chutes cleaning at Matimba Power Station for a period of 5 years. Re - Issue.,03/09/2025,02/10/2025,,,
Other service activities,E1015TXNTCSAR,The driver monitoring system for driver safety behaviour programme and related hardware for about 2000 Vehicles for NTCSA (re-issue),03/09/2025,29/09/2025,,,
Supplies: General,E1785GXMPTUT,ONCE OFF SUPPLY AND DELIVERY OF ION EXCHANGE CPP RESINS AT TUTUKA POWER STATION,03/09/2025,25/09/2025,,,
Services: Professional,52 OF 2025,"Compilation and maintenance of the general valuation roll and supplementary valuation rolls as and when the supply of other valuation related services in compliance with the local government: municipal property rates act, 2004 ( act no 6 of 2004) read together with local government : municipal property rates amendment act,2014 ( act no.29 of 2014) for the period of three years",03/09/2025,06/10/2025,,,
Supplies: General,53 OF 2025,Supply and delivery of minibus combi fitted with automatic number plate recognition system for roadblock,03/09/2025,26/09/2025,,,
Supplies: General,49 OF 2025,"Design, printing, supply and delivery of diaries, posters and calendars for Makhado local municipality",03/09/2025,26/09/2025,,,
Supplies: General,50 OF 2025,Supply and delivery of woodchipper machine,03/09/2025,26/09/2025,,,
Supplies: General,51 OF 2025,Supply and deliver of heavy-duty lawnmower and brush cutter machine,03/09/2025,26/09/2025,,,
Civil engineering,ELA7760/2025/RFP 1,"FOR DESIGN AND CONSTRUCTION OF PAVED ACCESS ROADS TO RUNWAYS, TURN PAD FOR RUNWAY 24, CONCRETE APRON REFURBISHMENT AND EXTENSION OF TAXILANE FOR A PERIOD OF 26 MONTHS AT KING PHALO AIRPORT.",02/09/2025,02/10/2025,,,
Other service activities,TASEZ/RFP009/2025,Appointment of a Panel of Main Contractors with CIDB Grades 8 and 9,02/09/2025,29/09/2025,,,
Construction,ZNB02709/00000/00/EST/INF/25/T,BETTERMENT AND RE-GRAVELLING ON L370 (FROM KM 0+000 TO KM 7+300) IN LADYSMITH AREA OFFICE UNDER ALFRED DUMA LOCAL MUNICIPALITY (GRADE 5CE OR HIGHER),02/09/2025,09/10/2025,,,
Construction,ZNB02710/00000/00/EST/INF/25/T,"BETTERMENT AND RE-GRAVELLING ON L3356 (FROM CH 0+000 TO CH 2+100) & L3357(FROM CH 0+000 TO CH 1+800) IN THE AREA OFFICE LADYSMITH, UNDER ALFRED DUMA LOCAL MUNICIPALITY (GRADE 4CE OR HIGHER)",02/09/2025,14/10/2025,,,
Supplies: General,CGS-2025-003NY,"APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF GENERAL MAINTENACE HARDWARE SPARES, TOOLS AND CONSUMABLES AS AND WHEN REQUIRED FOR PERIOD OF THREE (3) YEARS AT THE COUNCIL FOR GEOSCIENCE HEAD OFFICE.",02/09/2025,23/09/2025,,,
Services: General,LDPWRI-EPWP/20557,Appointment of Service Provider for the Training of 25 Learners for Apprenticeship Trade in Welder on the Merseta Development Programme in Limpopo Province for a Period of 36 (thirty-six) Months.,02/09/2025,23/09/2025,,,
"Office administrative, office support and other business support activities",SCMU11-25/26-011,Appointment of a service provider for the implementation of professional records management services for a period of 3 (three) years for the Department of Human Settlements Head office and regional offices,02/09/2025,23/09/2025,,,
Construction,ZNB02721/00000/00/EST/INF/25/T,"BETTERMENT AND RE-GRAVELLING ON P10-1 (FROM KM 41+300 TO KM 43+100) IN THE AREA OFFICE BERGVILLE, UNDER OKHAHLAMBA LOCAL MUNICIPALITY (GRADE 3CE OR HIGHER)",02/09/2025,16/10/2025,,,
Administrative and support activities,RFP/LOG/2025/10248034/17,REQUEST FOR PROPOSAL FOR THE PROVISION OF INDOOR AND OUTDOOR PEST CONTROL SERVICES INCLUDING MAINTENANCE FOR A PERIOD OF FIVE YEARS.,02/09/2025,26/09/2025,,,
Information and communication,EEC/T10/2025,Selection of Service Provider to Supply License Renewal of Microsoft Office 365 A5 (3Years),02/09/2025,25/09/2025,,,
Administrative and support activities,RFP/LOG/2025/10247499/16,REQUEST FOR PROPOSAL FOR THE PROVISION OF INDOOR PLANT MAINTENANCE AND GARDENING SERVICES FOR A PERIOD OF FIVE YEARS.,02/09/2025,29/09/2025,,,
Other service activities,EPWP-IDTSKILLS- NATCERTLP-CONSTRUCTION-ROADS08202,REQUEST FOR QUOTATION (RFQ) FOR SKILLS TRAINING OF 18 LEARNERS ON TRAINING FOR NATIONAL CERTIFICATE: CONSTRUCTION OF ROADS AND FIXING OF POTHOLES ID NO SAQA ID: 24173 FROM AROUND THE COMMUNITIES OF MAPHATA IN THE GREATER GIYANI LOCAL MUNICIPALITY,02/09/2025,19/09/2025,,,
Other service activities,EPWP-IDTSKILLS- NATCERTLP-HAIRSTYLIST-082025,REQUEST FOR QUOTATION (RFQ) FOR SKILLS TRAINING OF 18 LEARNERS ON TRAINING FOR OCCUPATIONAL SKILLS PROGRAMME: HAIRSTYLIST ID NO SP- 230305 FROM AROUND THE COMMUNITIES OF STERKFONTEIN IN ELIAS MOTSWALEDI LOCAL MUNICIPALITY.,02/09/2025,19/09/2025,,,
Other service activities,EPWP-IDTSKILLS- NATCERTLP-RENEWABLE-ENERGY08202,REQUEST FOR QUOTATION (RFQ) FOR SKILLS TRAINING OF 20 LEARNERS ON TRAINING FOR OCCUPATIONAL SKILLS PROGRAMME: RENEWABLE ENERGY WORKSHOP ASSISTANT ID NO SP-210602 FROM AROUND THE COMMUNITIES OF WATERBERG DISTRICT IN THE MODIMOLLE - MOOKGOPHONG LOCAL MUNICIPALITY.,02/09/2025,19/09/2025,,,
Services: Building,8711 Re-issue,GENERAL BUILDING FOR A PERIOD OF THIRTY SIX(36) MONTHS AT BRAMFISCHER INTERNATIONAL AIRPORT,02/09/2025,22/09/2025,,,
Other service activities,EPWP-IDTSKILLS-NATCERTLP- MIX-FARM-SYSTEMS082,REQUEST FOR QUOTATION (RFQ) FOR SKILLS TRAINING OF 28 LEARNERS ON TRAINING FOR NATIONAL CERTIFICATE MIXED FARMING SYSTEMS: ID NO SP-48977 FROM AROUND THE COMMUNITIES OF MATANGARI IN THE THOHOYANDOU LOCAL MUNICIPALITY,02/09/2025,19/09/2025,,,
Other service activities,EPWP-IDTSKILLS-NATCERTLP-PLUMB-HAND-082025,REQUEST FOR QUOTATION (RFQ) FOR SKILLS TRAINING OF 24 LEARNERS ON TRAINING FOR OCCUPATIONAL CERTICATE: PLUMBER HAND QCTO QUALIFICATION ID NO SP-210403 FROM AROUND THE COMMUNITIES OF MANKWENG IN THE POLOKWANE LOCAL MUNICIPALITY,02/09/2025,19/09/2025,,,
Construction,ZNB02729/00000/00/IXO/INF/25/T,"CONSTRUCTION OF NEW GRAVEL ROAD, ASSOCIATED DRAINAGE AND ANCILLARY WORKS ON L3640 BETWEEN KM 0.0 TO KM 1.500 FROM BHALA TO CABAZI IN UMZIMKHULU, PIETERMARITZBURG REGION",02/09/2025,23/10/2025,,,
Construction,ZNB02730/00000/00/IXO/INF/25/T,"EXTENSION OF LOCAL ROAD L2185 FROM THEMBENI TO IBISI; KM 2.800 TO KM 5.791 UNDER THE UMZIMKULU LOCAL MUNICIPALITY, PIETERMARITZBURG REGION",02/09/2025,23/10/2025,,,
Services: General,LDPWRI-EPWP/20558,Appointment of Service Provider for the Training of 25 Learners for Apprenticeship Trade in Mechanical Fitter/Fitter on the Merseta Development Programme in Limpopo Province for a Period of 36 (thirty-six) Months.,02/09/2025,23/09/2025,,,
Services: General,LDPWRI-EPWP/20559,Appointment of Service Provider for the Training of 25 Learners for Apprenticeship Trade in Diesel Mechanic on the Merseta Development Programme in Limpopo Province for a Period of 36 (Thirty-Six) Months.,02/09/2025,23/09/2025,,,
Security and investigation activities,Tender no. MN51/2025,"TENDER NO. MN 51/2025 - PROVISION OF SECURITY SERVICES FOR KWADUKUZA MUNICIPALITY FOR A PERIOD OF THREE YEARS – (GUARDING: MUNICIPAL BUILDINGS AND ASSETS INCLUDING ALARMS AND ARMED RESPONSE SERVICES, ANTI-LAND INVASION UNIT, VIP PROTECTION, SPORTING AND ENTERTAINMENT EVENTS SECURITY)",02/09/2025,13/10/2025,,,
Services: General,LDPWRI-EPWP/20560,Appointment of Service Provider for the Training of 25 Learners for Apprenticeship Trade in Electrical on the Merseta Development Programme in Limpopo Province for a Period of 36(thirty-six) Months.,02/09/2025,23/09/2025,,,
Services: Functional (Including Cleaning and Security Services),ZNB134/2025/26HSE,"PROVISION OF CLEANING SERVICES AND PLANT MAINTENANCE FOR THE KZN DEPARTMENT OF HUMAN SETTLEMENTS, EAGLE BUILDING, 353-356 DR PIXLEY KASEME STREET, DURBAN, FOR A PERIOD OF 36 MONTHS.",02/09/2025,02/10/2025,,,
"Water supply; sewerage, waste management and remediation activities",LIM473/RepMain-Phokwane cluster/25/26/008,Repair and maintenance of water and sanitation infrastructure at Phokwane cluster for the period of three years,02/09/2025,03/10/2025,,,
Construction,LDPWRI-B/20541 RE-ADVERT,Re-advertisement: Appointment of a Turnkey Contractor Refurbishment of The Limpopo Province Legislature Office Buildings at The Lebowakgomo Government Complex 7GB or Higher (once off),02/09/2025,22/09/2025,,,
Human health and social work activities,GPW-2025/26-03,APPOINTMENT OF A SERVICE PROVIDER TO RENDER OCCUPATIONAL AND PRIMARY HEALTH CARE SERVICES TO GOVERNMENT PRINTING WORKS FOR A PERIOD OF FIVE (5) YEARS,02/09/2025,25/09/2025,,,
Services: General,LDPWRI-P/20561,"Appointment of Service Provider for the Supply and Delivery of Landscape Machinery to the Limpopo Department of Public Works, Roads and Infrastructure (once off)",02/09/2025,23/09/2025,,,
"Water supply; sewerage, waste management and remediation activities",lim473/rep main-jane furse/25/26/009,Repair and maintenance of water and sanitation infrastracture at jane furse clusterfor the period of three years,02/09/2025,03/10/2025,,,
Services: General,LDPWRI-P/20524,"Appointment of the Service Provider for Term Contract on Grass Cutting, Debushing and Tree Felling at Prestige Portfolio (Parliamentary Village, Premier’s Guest House, Legislature and Former MEC Residents), Revil Estate and Departmental Vacant Stands for a Period of 36 Months in Limpopo Province.",02/09/2025,23/09/2025,,,
"Water supply; sewerage, waste management and remediation activities",lim473/RepMain-Schoonord/25/26/010,Repair and Maintenance of water and sanitation infrastructure at schoonord for the period of three years,02/09/2025,03/10/2025,,,
"Water supply; sewerage, waste management and remediation activities",Lim473/RepMain-Masemola/25/26/011,repair and maintenance of water and sanitation infrastructure at Masemola cluster for the period of three years,02/09/2025,03/10/2025,,,
"Water supply; sewerage, waste management and remediation activities",LIM473/consulting-water/25/26/012,Consulting engineering for the design and supervission of water and sanitation infrastructure within makhuduthamaga local municipality for the period of three years,02/09/2025,03/10/2025,,,
Services: General,Bidder's List - E1464GXMPKUS,BIDDER'S LIST: SUPPLY AND DELIVERY OF OUTAGE GENERATOR SPARES AT KUSILE POWER STATION ON A ONCE OFF BASIS,02/09/2025,30/09/2025,,,
Services: Professional,FMA 0006-2025/26,The Department of the Premier wishes to invite potential bidders to submit a bid for the procurement of Contact Centre Services for the Department of the Premier within the Western Cape Government for a period of 36 (thirty-six) months.,02/09/2025,25/09/2025,,,
Services to buildings and landscape activities,10415711,VG IMPLEMENTATION OF WATERWISE GARDENS,02/09/2025,18/09/2025,,,
Services: General,UMZ/2025-26/BTO/REV/002,COMPILATION AND MAINTENANCE OF THE GENERAL VALUATION ROLL AND SUPPLEMENTARY VALUATION ROLL,02/09/2025,22/09/2025,,,
Services: Professional,ARC/23/09/2025,Professional Service Providers to assist with Occupational Medical Services for a period of three years.,02/09/2025,29/09/2025,,,
Construction,ZNB02713/00000/00/EST/INF/25/T,"BETTERMENT AND RE-GRAVELLING ON P329 (FROM CH 0+000 TO CH 5+000) IN THE AREA OFFICE LADYSMITH, UNDER ALFRED DUMA LOCAL MUNICIPALITY (GRADE 4CE OR HIGHER)",02/09/2025,14/10/2025,,,
Construction of buildings,SBM 56/24/25,"LAINGVILLE 309 IRDP: PHASES 1 TO 6 - CONSTRUCTION OF 309 TOP STRUCTURES ON PORTION OF ERF 80, IN LAINGVILLE.",02/09/2025,17/10/2025,,,
Services: General,ERI/2025/TSS/08L,LIST OF BIDDERS:Calibration and refurbishment of safety valves for a period of 3 years,02/09/2025,25/09/2025,,,
Services: General,E1467GXMPMAT,Provision of Laundry Services to Eskom Matla Power Station for a period of 5,02/09/2025,29/09/2025,,,
Services: Functional (Including Cleaning and Security Services),SENT-023-2025-26,Appointment of service provider to render security services at Meyerton Transmitter sites for a period of 12 months.,02/09/2025,30/09/2025,,,
Services: Professional,RFP 04-2025 Advert,APPOINTMENT OF SERVICE PROVIDER TO UNDERTAKE TRAVEL SERVICES FOR A PERIOD OF 36 MONTHS.,02/09/2025,30/09/2025,,,
Employment activities,RFP:02/09/2025/BP&OD,"PROVISION OF EMPLOYEE WELLNESS PROGRAMME (“EWP”) FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND THE CONTRACT, AT THE SIU’S SOLE DISCRETION, AND SUBJECT TO ACCEPTABLE PERFORMANCE LEVELS OF THE APPOINTED SERVICE PROVIDER, BY A PERIOD OF TWO (02) YEARS.",02/09/2025,29/09/2025,,,
Services: Professional,FOSPHB-RFP-39-25/26,FOSPHB-RFP-39-25/26 REQUEST FOR PROPOSAL FOR THE SUPPLY/PROVISION OF PROFESSIONAL CIVIL ENGINEERING SERVICES IN WATER USE LICENSE APPLICATION UNTILL COMPLETION OF THE APPLICATION (ESTIMATED TO BE OCTOBER 2026) AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 (THREE) YEARS,02/09/2025,30/09/2025,,,
Construction,ZNB02790/00000/00/POR/INF/25/T,"BLACKTOP PATCHING ON P200 FROM KM 0.00 TO KM 22.5519 IN THE RAY NKONYENI LOCAL MUNICIPALITY,COST CENTRE PORT SHEPSTONE UNDER DURBAN REGION - CIDB GRADE 3CE or Higher",02/09/2025,15/10/2025,,,
Construction,ZNB02454/00000/00/POR/INF/24/T,"BETTERMENT OF GRAVEL STEEP SECTION ON P520 TO CONCRETE PAVEMENT, BETWEEN KM 5.00 TO KM 7.00 IN RAY NKONYENI LOCAL MUNICIPALITY WITHIN THE DURBAN REGION - CIDB GRADE 3CE or higher",02/09/2025,20/10/2025,,,
Construction,ZNB02775/00000/00/POR/INF/25/T,"BETTERMENT OF GRAVEL STEEP SECTION TO CONCRETE PAVEMENT OF 210M ON DISTRICT ROAD D862 FROM KM 10.750 TO KM 10.960, AT UMUZIWABANTU LOCAL MUNICIPALITY WITHIN THE DURBAN REGION FOR GRADE 3CE OR HIGHER",02/09/2025,22/10/2025,,,
Construction,SAMRC/FM-PGB&MS/2025/05R,PROVISION OF GENERAL BUILDING AND MAINTENANCE SERVICES-KWAZULU-NATAL,02/09/2025,25/09/2025,,,
Other service activities,KZNGFA RFQ 2025 - 17,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT BUSINESS PROCESS REENGINEERING FOR KZN GROWTH FUND AGENCY,02/09/2025,19/09/2025,,,
Services: General,E1796GXMPARN,"The provision of a four-year maintenance and support program for the Arnot Power Station compressor plant (installed with CompAir and Baofn compressors), covering all compressors and associated air dryers, maintenance of Evapco cooling towers, warranty for the nine new electric screw compressors, 24/7 breakdown support, technical training, and supply of genuine OEM spare parts and consumables",02/09/2025,30/09/2025,,,
Accommodation,MHSC010/2025/26,APPOINTMENT OF A TRAVEL MANAGEMENT COMPANY TO PROVIDE TRAVEL MANAGEMENT SERVICES TO THE MINE HEALTH AND SAFETY COUNCIL FOR THIRTY-SIX (36) MONTHS,02/09/2025,23/09/2025,,,
Services: Functional (Including Cleaning and Security Services),ZNB135/2025/26HSE,"PROVISION OF CLEANING SERVICES FOR THE KWAZULU-NATAL DEPARTMENT OF HUMAN SETTLEMENTS AT ITS ULUNDI REGIONAL OFFICES, KING DINUZULU HIGHWAY LA COMPLEX BUILDING ULUNDI FOR A PERIOD OF 36 MONTHS.",02/09/2025,07/10/2025,,,
Supplies: Computer Equipment,E1792CXMWP,"Expression of interest (EOI) to supply, deliver, install, commission and provide training on the operation of an Automated Asphaltene analyser and/or an Automated S-value analyser for fuel oil samples.",02/09/2025,07/10/2025,,,
Supplies: General,ORTIA7948/2025/RFP,REQUEST FOR PROPOSAL FOR THE PROCUREMENT OF MECHANICAL VALVES AND INSTRUMENTATION TAGGED EQUIPMENT FOR THE 20” JET FUEL FEEDER LINE REPLACEMENT AT OR TAMBO INTERNATIONAL AIRPORT (ORTIA),02/09/2025,02/10/2025,,,
Services: Professional,Lin473/civillaw/25/26/002,Provision of civil law litigations services for the period of 36 months,02/09/2025,03/10/2025,,,
