Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Supplies: General,E2481GXLPMAT,APPOINTMENT OF SERVICE PROVIDERS FOR THE SUPPLY AND DELIVERY OF LIGHTING SPARES TO MATIMBA POWER STATION OVER A PERIOD OF FIVE YEARS,29/01/2026,09/03/2026,ESKOM,Request for Bid(Open-Tender),Limpopo,"NELSON MANDELA DRIVE, Matimba Power Station, LEPHALALE, 0555",N/A,Mabuse Erick Maila,mailame@eskom.co.za,011-763-8816,N/A,No,No,,,No,No,,
Supplies: General,ULM-CSS 004/26,SUPPLY AND DELIVERY OF HEAVY-DUTY PLASTIC CHAIRS ,29/01/2026,20/02/2026,Umzimkhulu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"169 Main Street, uMzimkhulu, 3297, Umzimkhulu, Umzimkhulu, 3297","Tender documents will be available on the municipal website (www.umzimkhululm.gov.za) and will also be available from the cashier at 169 Main Street, uMzimkhulu, 3297 upon the non-refundable payment of R 150 per document or a bank guaranteed cheque made out to uMzimkhulu Municipality during working hours between 09:30am and 16:00pm from the 03rd of February 2026; cut-off time for buying documents is the 05th of February 2026, 15 minutes before the briefing time.

Compulsory briefing meeting is scheduled to take place at uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.
",Mrs. B Nomvalo,nomvalob@umzimkhululm.gov.za,039-259-5076,N/A,Yes,Yes,,"uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.",No,No,,
"Waste collection, treatment and disposal activities; materials recovery",GMT032/25-26,"GMT032/25-26 : Tender for Collection of Recyclable Waste from Households and Businesses by means of blue bags, for a period of three (3) years, from date of appointment until 30 June 2029.",29/01/2026,02/03/2026,George Municipality,Request for Bid(Open-Tender),Western Cape,"71 York Street , Dormelsdrift , George, 6529","Stage 1: Functionality Criteria
Only tenders scoring a minimum of 75 out of 90 points in stage 1 will be further considered for evaluation in stage 2
",Frank Tamboer ,ftamboer@george.gov.za,044-803-9274,N/A,Yes,Yes,,"Conference Hall , Civic Centre , George Municipality , 71 York STreet, George,6529",No,No,,
Supplies: General,ULM-INFR 003/26,SUPPLY AND DELIVER OF REFUSE BAGS ( 12 MONTHS CONTRACT),29/01/2026,20/02/2026,Umzimkhulu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"169 Main Street, uMzimkhulu, 3297, Umzimkhulu, Umzimkhulu, 3297","Tender documents will be available on the municipal website (www.umzimkhululm.gov.za) and will also be available from the cashier at 169 Main Street, uMzimkhulu, 3297 upon the non-refundable payment of R 150 per document or a bank guaranteed cheque made out to uMzimkhulu Municipality during working hours between 09:30am and 16:00pm from the 03rd of February 2026; cut-off time for buying documents is the 05th of February 2026, 15 minutes before the briefing time.

Compulsory briefing meeting is scheduled to take place at uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.

",Mrs. N. Mzozo,mzozon@umzimkhululm.gov.za,039-259-5063,N/A,Yes,Yes,,"uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.",No,No,,
Services: General,ULM-MM/COMM  003/26,PROVISION WHISTLEBLOWING HOTLINE SERVICES (36 MONTHS CONTRACT),29/01/2026,20/02/2026,Umzimkhulu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"169 Main Street, uMzimkhulu, 3297, Umzimkhulu, Umzimkhulu, 3297","Tender documents will be available on the municipal website (www.umzimkhululm.gov.za) and will also be available from the cashier at 169 Main Street, uMzimkhulu, 3297 upon the non-refundable payment of R 250 per document or a bank guaranteed cheque made out to uMzimkhulu Municipality during working hours between 09:30am and 16:00pm from the 03rd of February 2026; cut-off time for buying documents is the 06th of February 2026, 15 minutes before the briefing time.

Non-Compulsory briefing meeting is scheduled to take place at uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.
",Mr. L Mthobeni,mthobeniL@umzimkhululm.gov.za,039-259-5073,N/A,Yes,No,,"uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.",No,No,,
Services: Professional,SCM 38 OF 25/26,APPOINTMENT OF RATES-BASED CONTRACTORS (MINIMUM OF 5 AND MAXIMUM OF 10) FOR THE INSTALLATION/ REPLACEMENT/REMOVAL/MAINTANANCE AND RESTRICTION OF WATER METERS AND STANDPIPE METERS WITHIN THE MSUNDUZI MUNICIPALITY. CONTRACTORS WITH A MINIMUM CIDB OF 2SO OR HIGHER,29/01/2026,26/02/2026,Msunduzi Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"Msunduzi Area of Jurisdiction, Pietermaritzburg, Pietermaritzburg, 3201",Only contractors registered with the Construction Industry Development Board (CIDB) with a Contractor Grading OF 2 SO or Higher will be eligible to submit tenders.,Shaylin Nelson,shaylin.nelson@msunduzi.gov.za,033-392-2072,N/A,Yes,No,,"Auditorium 1, 1st Floor, Bessie Head Library, 260 Church Street, Pietermaritzburg",No,No,,
"Professional, scientific and technical activities",19/1/9/1/22TD(25),"REQUEST FOR AN OPEN BID FOR PLANNED MAINTENANCE, REPAIR AND UPGRADE ON HAMILTON LIQUID HANDLERS  EQUIPMENT: COMPONENT: FORENSIC SCIENCE LABORATORY: SECTION: BIOLOGY PRETORIA AND WESTERN CAPE FOR A PERIOD OF TWO (2) YEARS",29/01/2026,27/03/2026,South African Police Service,Request for Bid(Open-Tender),National,"GAUTENG AND WESTERN CAPE, GAUTENG AND WESTERN CAPE, GAUTENG AND WESTERN CAPE, 0000","KINDLY NOTE THAT THE BID MUST BE DOWNLOADED FROM THIS PORTAL, COMPLETED AND UPLOADED ON THE E-TENDER PORTAL. ALL ADDITIONAL DOCUMENTS REQUESTED MUST BE SUBMITTED AS INDICATED. NO HAND DELIVERED  SUBMISSIONS WILL BE ACCEPTED.",LT COLONEL LALLA,Lallaml@saps.gov.za,012-841-7745,000-000-0000,Yes,Yes,,"PHUMALANI BARRACKS, 3 LEEUBEKKIE STREET, KOEDOESPOORT, DIVISION SUPPLY CHAIN MANAGEMENT, SILVERTON",Yes,No,,
Mining and quarrying,CES 27/2025,"The Supply and Delivery of Backfill Material with Low Pi Value
(Sandfill and Gravel Material)",29/01/2026,19/02/2026,Drakenstein Municipality,Request for Bid(Open-Tender),Western Cape,"Drakenstein Municipality, Paarl, Paarl, 7646",N/A,Bradley Williams,bradley.williams@drakenstein.gov.za,021-807-6334,N/A,No,No,,,No,No,,
Services: Professional,INC 1/2026,"PROVISION OF A WEB-BASED INDIGENT MANAGEMENT, DEBTOR PROFILING AND INCOME VERIFICATION SYSTEM FOR THE PERIOD 01 JULY 2026 UP TO 30 JUNE 2029",29/01/2026,19/02/2026,Drakenstein Municipality,Request for Bid(Open-Tender),Western Cape,"Drakenstein Municipality, Paarl, Paarl, 7646",N/A,Mr D Heyns,deonh@drakenstein.gov.za,021-807-4517,N/A,Yes,Yes,,"Small Drakenstein Committee Room at Civic Centre, 1st Floor, Berg River Boulevard, Paarl",No,No,,
Rental and leasing activities,SCM 59-R OF 25/26,LEASING OF 2 X LITHIUM BATTERY OPERATED ELECTRIC FORKLIFTS TO THE MARKET FOR 3 YEARS,29/01/2026,26/02/2026,Msunduzi Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal," 1 Market Road Mkondeni , Pietermaritzburg, Pietermaritzburg, 3201",N/A,Chester Lembede,chester.lembede@msunduzi.gov.za,033-392-2443,N/A,No,No,,,No,No,,
Information service activities,RFB 3197/2025,"Supply, Design, Configuration and installation to Upgrade the Current Network Infrastructure Switches and Wi-Fi Including Maintenance and Support for a Period of Five (5) Years for The Department of Tourism.",29/01/2026,23/02/2026,State Information Technology Agency,Request for Bid(Open-Tender),Gauteng,"17 Trevenna Street, Sunnyside, Pretoria, 0002",N/A,Muditambi Gangazhe,Muditambi.Gangazhe@wsita.co.za,012-367-3951,N/A,Yes,No,,Microsoft Teams,No,No,,
Supplies: General,E2223CXMWPERELIST,"Supply, Delivery, Installation, and Maintenance of Indoor Gym Equipment for a Period of Five (05)
Years.",29/01/2026,27/02/2026,ESKOM,Request for Bid(Open-Tender),National,"Eskom Megawatt Park,  Sunninghill , Johannesburg, 2157",N/A,Malekutu Gavin Mabidilala,mabidimg@eskom.co.za,011-629-4972,N/A,No,No,,,No,No,,
Services: General,GNP-031-25R,"APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTENANCE OF ALL WATER PUMPS, BOREHOLES, AND POOL PUMPS AT AENP FOR A PERIOD OF THREE YEARS",29/01/2026,27/02/2026,South African National Parks,Request for Bid(Open-Tender),Eastern Cape,"R335 Main Road, Addo, Addo, 6105",None ,Goodman Mawela,Goodman.mawela@sanparks.org,042-233-8661,N/A,No,No,,,No,No,,
"Water supply; sewerage, waste management and remediation activities","Panel – S, D&I WATER 2026/01/003","RE-ADVERTISMENT: APPOINTMENT FOR A PANNEL OF SIX (6) SERVICE PROVIDERS FOR SUPPLY, DELIVERY AND INSTALLATION OF WATER AND WASTEWATER MAINTENANCE MATERIALS AS AND WHEN REQUIRED FOR A PERIOD OF 36 MONTHS",29/01/2026,02/03/2026,Masilonyana local municipality,Request for Bid(Open-Tender),Free State,"47 Le Roux Street, Theunissen, Theunissen, 9410",Please download all the attached tender documents.,Sejane Matobako,smatobako@masilonyana.co.za,077-388-9878,N/A,No,No,,,No,No,,
Manufacture of furniture,C&D-Insect Drawers-01/2026,"Entomology drawer size 442+- x 478 x 63mm made from Basswood complete with glass lid, nylon slides, drawer knob and card holders as per original design and supply",29/01/2026,23/02/2026,Iziko Museums of Cape Town,Request for Quotation,Western Cape,"25 Queen Victoria Street, Cape Town , Cape Town, 8001","Quotes / Proposals, and accompanying documentation, must be emailed to (Supply Chain Management) 
smadlavu@iziko.org.za and soupa@iziko.org.za and scm@iziko.org.za

",Noleen Donson,ndonson@iziko.org.za,021-481-3917,N/A,No,No,,,No,No,,
Construction,DLRRD EC 004(2025/2026),CONSTRUCTION OF 12.4 KM GQUBENI ACCESS ROAD UNDER KING SABATA DALINDYEBO LOCAL MUNICIPALITY IN O.R. TAMBO DISTTRICT MUNICIPALITY IN THE EASTERN CAPE.,29/01/2026,26/02/2026,Department of Rural Development & Land Reform,Request for Bid(Open-Tender),Eastern Cape,"GQUBENI VILLAGE, GQUBENI , KING SABATA MUNICIPALITY, 5099","Addenda have been issued and sent to bidders that attended the briefing session, and the closing date was extended to the 26 February 2026 at 11:00.",Victor Gazi ,victor.gazi@dlrrd.gov.za,043-701-8182,N/A,Yes,Yes,,"TURN- OFF FROM NGCWANGUBA TOWN,HEADING TORWARDS GQUBENI VILLAGE,WARD 27",No,No,,
Services: Functional (Including Cleaning and Security Services),E2471DXWC,"The removal of general, hazardous, medical and mixed waste for Distribution Property Management in the Cape Coastal Cluster - Western Cape",29/01/2026,20/02/2026,ESKOM,Request for Bid(Open-Tender),Western Cape,"Eskom Road, Brackenfell, Cape Town, 7560",N/A,ANELE SHERON LANGA,LangaAS@eskom.co.za,021-983-4157,N/A,Yes,Yes,,MS Teams,Yes,No,,
Supplies: General,E2478GXLPMED ,Supply and Delivery of Medupi Power Station clean drain system valves spares for a period of 5 years. ,29/01/2026,05/03/2026,ESKOM,Request for Bid(Open-Tender),Limpopo,"Medupi Power Station, Lephalale, Lephalale, 0555",N/A,koma Kgalake Jonathan,komakj@eskom.co.za,014-763-8689,N/A,No,No,,,No,No,,
Supplies: General,E2445NTCSANEG,For supply and delivery of personal protective equipment (PPE) for North East Grid (Mpumalanga) for the period of 36 months on an as and when required basis,29/01/2026,26/02/2026,ESKOM,Request for Bid(Open-Tender),National,"Corner Jellico and Water Meyer Street, Witbank, Eskom Park, North Eastern Region, 1035",N/A,Tshifhiwa Modau,ModauT@eskom.co.za,011-629-5553,N/A,Yes,No,,Microsoft Teams,Yes,No,,
Services: Professional,WP11548,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER (PSP) TO UNDERTAKE THE STUDY: UPDATING OF THE RECONCILIATION STRATEGIES TO RECONCILE WATER AVAILABILITY AND REQUIREMENTS FOR THE OLIFANTS RIVER WATER SUPPLY SYSTEM IN PLANNING AREA NORTH FOR A PERIOD OF 36 MONTHS ,29/01/2026,03/03/2026,Water and Sanitation,Request for Bid(Open-Tender),National,"Francis Baard street , Pretoria , Pretoria , 0002",N/A,Jacob Mabusela ,mabuselaj@dws.gov.za,012-336-7240,N/A,No,No,,,Yes,No,,
Supplies: General,SND/CL/CPS/2025-26MHLM,Supply and delivery of Cleaning Material for a period of one year.,29/01/2026,13/03/2026,Mhlontlo Local Municipality,Request for Quotation,Eastern Cape,"Kumkani Mhlontlo Municipality 96 General Mabindla Street, Qumbu, Qumbu, 5180",N/A,Ms T Gomo,tgomo@mhlontlolm.gov.za,047-553-7000,047-553-0189,No,No,,,No,No,,
Manufacture of machinery and equipment n.e.c.,SPU/B/5ASU/082/25,"SUPPLY, DELIVERY AND COMMISSIONING OF VISCOMETER.
DOD PROC PLAN 25/26/SAAF/401.
",29/01/2026,19/02/2026,Defence,Request for Bid(Open-Tender),Gauteng,"AIR FORCR BASE WATERKLOOF, SOLOMON MAHLANGU DRIVE., LYTTELTON , PRETORIA, 0157",TECHNICAL INFORMATION: SERGEANT Y. MBONISWA AT 012-672-3979.,SERGEANT N.Z. CHAUKE,Saafpu.Invitations@dod.mil.za,012-351-2367,N/A,No,No,,,No,No,,
Other service activities,DFFEQ 314 Squid 2026,Supply and delivery of Squid Loligo Vulgaris,29/01/2026,20/02/2026,"National - Environment, Forestry and Fisheries",Request for Quotation,Western Cape,"DFFE Mammal store, Nereide Street , Paarden Island, Cape Town , 7405",N/A,Luxolo Matiwane,lmatiwane@dffe.gov.za,021-493-7244,N/A,No,No,,,No,No,,
Services: Professional,RFP124/2025,"PROVISION OF PROFESSIONAL SERVICES AS A TRANSACTION ADVISOR TO UNDERTAKE A BANKABLE FEASIBILITY STUDY, COST-BENEFIT ANALYSIS, FINANCIAL MODELLING, PROJECT PREPARATION, AND TO DEVELOP PROCUREMENT DOCUMENTS FOR PERFORMANCE-BASED CONTRACT (PBC) PROJECTS FOR NON-REVENUE WATER (NRW) REDUCTION IN MANGAUNG METROPOLITAN MUNICIPALITY",29/01/2026,06/03/2026,Development Bank of Southern Africa,Request for Proposal,National,"1258 Lever Rd, Headway Hill, Midrand, Midrand, 1685",N/A,Asakundwi Nenguda,asakundwiscm@dbsa.org,011-313-3086,N/A,Yes,Yes,,Microsoft Teams,No,No,,
Other service activities,NQULM43/2025-2026,APPOINTMENT OF SERVICE PROVIDER FOR THE IMPLEMENTATION OF INCUBATOR PHASE 3 AS TURNKEY FOR 4 UNITS (5&6) and (7&8,29/01/2026,02/03/2026,Nquthu Local Municipality,Request for Quotation,KwaZulu-Natal,"LOT 83/11 MDLALOSE STREET, NQUTHU, NQUTHU, 3135","Last sale of tender document is 13/02/2026 at 14h30
NQULM43/25-26
Obtainable from cashiers’ office only


",MR M NKALA,directortech@nquthu.gov.za,034-271-6110,034-271-6111,Yes,Yes,,"Lot 83/11 Mdlalose street,Nquthu Council Chamber",No,No,,
Other service activities,025/2025/26,"Supply, Installation, Testing, and Commissioning of the Schweitzer Engineering Laboratories (SEL- 487E) Protection Scheme for the 20 MVA 66/11 kV Transformer No. 3 at Unitra Substation, including H-Frame and Low Voltage (LV) Bus Support for a period of six (06) months",29/01/2026,04/03/2026,King Sabata Dalindyebo Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"UNITRA SUBSTATION, UNITRA, Mthatha, 5099",Briefing session be held at the Unitra substation - Mthatha on the 9th of February 2026 at 11h00,Mr S.Bangiso,bangisos@ksd.gov.za,063-002-8302,N/A,Yes,Yes,,To be held at the Unitra substation - Mthatha o,No,No,,
Other service activities,SCM: 013/2025/26,Development of Electricity infrastructure database planning and design for a period four (04) months,29/01/2026,04/03/2026,King Sabata Dalindyebo Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"To be held at No. 6 Mveliso street, Vulindlela , Mthatha, Mthatha, 5099","Briefing session to be held at No. 6 Mveliso street, Vulindlela Heights - Mthatha on the 9th of February 2026 at 12h00",Mr S.Bangiso,bangisos@ksd.gov.za,063-002-8302,N/A,Yes,Yes,,"To be held at No. 6 Mveliso street, Vulindlela Heights - Mthatha ",No,No,,
Other service activities,016/2025/26,Supply and delivery of electrical toolboxes and electrical testing equipment for a period two (02) years,29/01/2026,04/03/2026,King Sabata Dalindyebo Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"6 Mveliso street, Vulindlela Heights - Mthatha , Mthatha, Mthatha",N/A,MR S.KWAMPA,kwampas@ksd.gov.za,069-038-6069,N/A,No,No,,,No,No,,
Services: Professional,Bid Number: SAWS-437/25,"Appointment of a service provider to support the organisation’s Employee Assistance and Wellness Programme across all offices nationwide, for a period of three (3) years",29/01/2026,20/02/2026,South African Weather Service,Request for Bid(Open-Tender),Gauteng,"ABSA building, 1st Floor, Reception Desk, 1263 Heuwel Road, Centurion,, Pretoria, 0157",N/A,Ms.Carol Lekalakala,Carol.lekalakala@weathersa.co.za,012-367-6252,N/A,No,No,,,Yes,No,,
Supplies: General,RFQ _16807,Supply and delivery of Terminal Seating,29/01/2026,20/02/2026,Airports Company of South Africa,Request for Quotation,Eastern Cape,"Allister Miller Dr, Walmer, Gqeberha, 6070",None.,Joseph Rulash,joseph.rulash@airports.co.za,084-434-0582,086-572-9731,No,No,,,No,No,,
Services: Professional,T04 of 2025/26,T04 OF 2025/26: PROVISION OF THE MULTI-UTILITY ONLINE VENDING SYSTEM INCLUDING THIRD-PARTY VENDING AND REVENUE ENHANCEMENT FOR A PERIOD OF 36 MONTHS.,29/01/2026,04/03/2026,Knysna Municipality,Request for Bid(Open-Tender),Western Cape,"Supply Chain Management Unit, Finance Building, Queen Street., Knysna, Knysna, 6571",Please refer to the tender document,Mzwanele Mato,mmato@knysna.gov.za,044-302-6549,N/A,No,No,,N/A,No,No,,
Services: Professional,E1040GXMPCAMr,Regret Letter - The Provision of C&I Maintenance Services at Camden Power Station for a period of 60 months.,29/01/2026,28/02/2026,ESKOM,Request for Quotation,Mpumalanga,"Camden Power Station, NUCAM, Ermelo, 2351",None,Tebogo Seyama,molotstm@eskom.co.za,017-827-8448,000-000-0000,No,No,,,No,No,,
Supplies: General,T22 of 2025/26,T 22 OF 2025/26: SUPPLY AND DELIVERY OF OIL & LUBRICANTS FOR A PERIOD OF 36 MONTHS,29/01/2026,04/03/2026,Knysna Municipality,Request for Bid(Open-Tender),Western Cape,"Supply Chain Management Unit, Finance Building, Queen Street., Knysna, Knysna, 6571",Please refer to the tender document.,Mzwanele Mato,mmato@knysna.gov.za,044-302-6549,N/A,No,No,,,No,No,,
Supplies: General,E2480GXLPMAT,Supply and delivery of Pneumatic Actuators to Matimba Power Station over a period of five (5) years on an as-and-when required,29/01/2026,06/03/2026,ESKOM,Request for Bid(Open-Tender),Limpopo,"NELSON MANDELA DRIVE, Matimba Power Station, LEPHALALE, 0555",N/A,Mabuse Erick Maila,mailame@eskom.co.za,011-800-6507,N/A,No,No,,,No,No,,
Security and investigation activities,MUN001/2026,Provision of physical security for a period of three (3) years from the date of appointment,29/01/2026,20/02/2026,Dihlabeng Local Municipality,Request for Bid(Open-Tender),Free State,"9 Muller Street, Bethlehem, Bethlehem, 9700","Bids must be completed in accordance with the conditions and bid rules contained in the bid documents and supporting documents must be sealed, together with supporting documents, and externally endorsed WITH THE CONTRACT NUMBER AND DESCRIPTION and placed in the bid box on the ground floor at Dihlabeng Local Municipality, 9 Muller Street, Bethlehem, 9700 not later than 12:00 on 20 February 2026",Dipuo Sehlabaka,dipous@dihlabeng.co.za,058-303-5737,N/A,No,No,,,No,No,,
Services: Professional,T23 of 2025/26,T 23 OF 2025/26: BIOLOGICAL MONITORING AND MEDICAL SURVEILLANCE SERVICES FOR THE EMPLOYEES OF KNYSNA MUNICIPALITY FOR A PERIOD OF THIRTY-SIX (36) MONTHS,29/01/2026,04/03/2026,Knysna Municipality,Request for Bid(Open-Tender),Western Cape,"Supply Chain Management Unit, Finance Building, Queen Street., Knysna, Knysna, 6571",Please refer to the tender document,Mzwanele Mato,mmato@knysna.gov.za,044-302-6549,N/A,No,No,,,No,No,,
"Other professional, scientific and technical activities",EKZNW 05/2025/26             ,"REQUEST FOR PROPOSAL (RFP) TO DEVELOP, OPERATE, AND MANAGE HEALTH SPA FACILITIES AT HILLTOP RESORT SITUATED IN HLUHLUWE IMFOLOZI PARK FOR EZEMVELO KZN WILDLIFE FOR A PERIOD OF TEN (10) YEARS",29/01/2026,30/04/2026,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Proposal,KwaZulu-Natal,"R618, Nhlawathi, Hluhluwe Game Reserve, Hluhluwe-iMfolozi Park, 3960","Each bidder will be responsible for its own due diligence investigation of the investment opportunities, environmental compliance requirements, proposed contractual terms, and anything else relating to this RFP.",Ms. Nokuthula Cele,ncele@kznwildlife.com,033-845-1441,N/A,Yes,Yes,,Hilltop Resort situated in the Hluhluwe iMfolozi Park ,No,No,,
Services: Professional,RFB019/2025,SUPPLY PROTO TEAMS AND LOOKOUT GUARDS & AIRSTRIP LOADING CREWS FOR A PERIOD OF THREE (3) YEARS,29/01/2026,20/02/2026,South African Forestry Company Limited,Request for Bid(Open-Tender),Mpumalanga,"20 PAUL KRUGER STREET, ABSA SQUARE BUILDING, THIRD FLOOR (Reception), NELSPRUIT, 1200",REFER TO PAGE 36 OF THE BID DOCUMENT ,Lungile Moeketsi ,Lungile.Moeketsi@safcol.co.za,012-436-6300,N/A,Yes,Yes,,https://teams.microsoft.com/meet/31488205179997?p=oALbLt4TV58YBFO4R2,No,No,,
Services: Professional,DCDT/09/2025/26,DCDT/09/2025/26 TERMS OF REFERENCE FOR THE APPOINTMENT OF A PANEL OF LEGAL EXPERTS TO BE PLACED ON THE DATABASE OF DEPARTMENT OF COMMUNICATIONS AND DIGITAL TECHNOLOGIES,29/01/2026,24/02/2026,DEPARTMENTOF COMMUNICATIONS AND DIGITAL TECHNOLOGIES,Request for Bid(Open-Tender),National,"Park Street, Hatfield, Pretoria, 0028",N/A,Rosinah Hlahla,dcdttenders@dcdt.gov.za,012-427-8029,N/A,Yes,Yes,,"1166 Park Street, iParioli Office Park, Bluecrane Boardroom",No,No,,
Administrative and support activities,9/1-T11/2025/26,"Provision of Financial Accounting System, Maintenance, Upgrade, Additional Module Licensing and System Support for a period of 36 months.",29/01/2026,25/02/2026,Nongoma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"Lot 103 Main Street, Nongoma, Nongoma, 3950","All tender documents will be obtainable at Cashier’s office from Nongoma Local Municipality Main Offices (Lot 103; Main Street; Nongoma; 3950) from the 23 January 2026, Friday at 07h30 to 15h00 till the 25 February 2026, Wednesday at 12h00. A non-refundable amount of R400 cash only (no other alternative payment will be accepted), per document will be payable. No document will be purchased on the tender briefing meeting date. Alternatively, tender documents can be downloaded freely as from 23 January 2026 on the tender portal website, www.etenders.gov.za.",Ms. NQ. Mzimela-Madwe,cfo@nongoma.gov.za,035-831-7500,035-831-3152,No,No,,,No,No,,
Services: Professional,HES-CORP 06/2526,PROVISION OF ADVERTISING AND TRANSLATION SERVICES FOR A PERIOD OF TWO (2) YEARS AND NINE (9) MONTHS,28/01/2026,06/03/2026,Hessequa Municipality,Request for Bid(Open-Tender),Western Cape,"Hessequa Municipality, SCM Absa Building, Corner of Dickson and Church Street, Riversdale, Western Cape, 6670",SEE DOCUMENTS ATTACHED!!,Leanne,leanne@hessequa.gov.za,028-713-8087,086-408-5074,No,No,,,No,No,,
Services: Professional,HES-CORP 12/2526,ACQUISITION OF SPECIALISED MICROSOFT SUPPORT SERVICES: SUPPORT RETAINER FOR A PERIOD OF THREE (3) YEARS,28/01/2026,06/03/2026,Hessequa Municipality,Request for Bid(Open-Tender),Western Cape,"Hessequa Municipality, SCM Absa Building, Corner of Dickson and Church Street, Riversdale, Western Cape, 6670",SEE DOCUMENTS ATTACHED!!,Leanne,leanne@hessequa.gov.za,028-713-8087,086-408-5074,No,No,,,No,No,,
Services: General,RFQ 12053 (C),HERBICIDE APPLICATION ON LANDSIDE AND AIRSIDE FOR A PERIOD OF 3 YEARS AT KING PHALO AIRPORT,28/01/2026,20/02/2026,Airports Company of South Africa,Request for Quotation,Eastern Cape,"King Phalo Airport,  66 Settler's way, East London, 5201",NONE,Joseph Rulash,joseph.rulash@airports.co.za,084-434-0582,086-572-9731,Yes,No,,"Information desk, King Phalo Airport ",No,No,,
Services: General,12054 (D),THE APPOINTMENT OF A SERVICE PROVIDER FOR PAINTING SERVICE FOR A PERIOD OF 3 YEARS AT KING PHALO AIRPORT ,28/01/2026,20/02/2026,Airports Company of South Africa,Request for Quotation,Eastern Cape,"King Phalo Airport, 66 Settler's way, East London, 5201",None.,Joseph Rulash,joseph.rulash@airports.co.za,084-434-0582,086-572-9731,Yes,No,,"Information desk, King Phalo Airport ",No,No,,
Other manufacturing,FIN-SCM-TEN-0200,"Bid to Supply, Installation and Commissioning of a Dosimetry System and Associated Services and provide training.",28/01/2026,25/02/2026,South African Nuclear Energy Corporation Limited,Request for Bid(Open-Tender),North West,"R104 Elias Motsoaledi Street (Church Street West Ext), Pelindaba, Madibeng Municipality, 0240",N/A,Buyani Nsibande,scm@necsa.co.za,012-305-6072,N/A,Yes,No,,Ms Teams,No,No,,
Repair and installation of machinery and equipment,ORTIA07888/2025/RFP,Provision of Maintenance of Passenger loading Bridges Services at O.R. Tambo International Airport for three years ,28/01/2026,24/02/2026,Airports Company of South Africa,Request for Proposal,Gauteng,"1 Jones Road, Kempton Park, Gauteng, 1632",Late submission will not be accepted,Davis  Mthethwa,Davis.Mthethwa@airports.co.za,000-000-0000,000-000-0000,Yes,Yes,,Meeting ID: 313 150 404 670 07  Passcode: DG7cS9PK ,No,No,,
Services: Professional,DHET178,"APPOINTMENT OF A SUITABLE PANEL OF ATTORNEYS/LAW FIRMS/ADVOCATES TO RENDER SPECIALISED LEGAL AND SECRETARIAT SERVICES TO THE NATIONAL SKILLS FUND
",28/01/2026,25/02/2026,Higher Education & Training,Request for Bid(Open-Tender),Gauteng,"123 Fransis baard street, PRETORIA, PRETORIA, 0002","Compulsory briefing session	11 February 2026
Time: 10:00am 
Microsoft Teams meeting 
Join: https://teams.microsoft.com/meet/38109188028817?p=s2sPcHt68GHknyTDey 
Meeting ID: 381 091 880 288 17 
Passcode: 7H6MK68C 
Questions related to the bids received from bidder(s)	13 February 2026
Collated answers from end user published on website	18 February 2026
",TENDERS,Tenders@dhet.gov.za,012-000-0000,N/A,Yes,Yes,,Meeting ID: 381 091 880 288 17  Passcode: 7H6MK68C,No,No,,
Specialised construction activities,iLABS/RFP2025/26:07-01,"Appointment Of Specialist Lab and Medical Gas Installation Contractor for: Supply, Installation, Testing and Commissioning of a Gas Storage and Reticulation System Upgrade for The Radiopharmaceutical Production Facility of IThemba LABS In Faure, Western Cape",28/01/2026,20/02/2026,National Research Foundation,Request for Proposal,Western Cape,"Old Faure Road, Faure, Western Cape, 7129",N/A,SCM Team,scm3@tlabs.ac.za,021-843-1345,N/A,Yes,Yes,,iThemba LABS Old Faure Road Faure 7131,Yes,No,,
